"product_id","product_name","category","quantity","price","supplier_name","manufacture_date","expiry_date"
1,"Samsung Galaxy S21","Electronics",25,"69999.00","TechnoWorld Pvt Ltd","2023-05-12","2026-05-12"
2,"HP Pavilion Laptop","Electronics",15,"55999.00","DigitalZone India","2023-08-05","2028-08-05"
3,"Apple iPhone 13","Electronics",20,"79999.00","BrightTech Traders","2023-06-20","2027-06-20"
4,"Mi Power Bank 20000mAh","Accessories",60,"1799.00","Mi Electronics","2024-02-10","2028-02-10"
5,"Sony Bluetooth Speaker","Electronics",30,"4999.00","SoundWave Supplies","2024-01-22","2029-01-22"
6,"Boat Airdopes 441","Accessories",50,"2499.00","AudioCart India","2024-03-01","2028-03-01"
7,"LG 43 Inch LED TV","Electronics",10,"33999.00","VisionTech Store","2023-11-12","2028-11-12"
8,"Dell Inspiron Laptop","Electronics",18,"62999.00","CompuMart Pvt Ltd","2023-07-15","2028-07-15"
9,"Canon DSLR 1500D","Cameras",8,"45999.00","PhotoWorld India","2023-09-10","2029-09-10"
10,"Lenovo Mouse","Accessories",70,"599.00","Digital Solutions","2024-04-01","2029-04-01"
11,"Samsung Refrigerator 250L","Home Appliances",9,"28999.00","CoolTech Electronics","2023-08-01","2030-08-01"
12,"Philips Hair Dryer","Personal Care",40,"1899.00","GlowMart Traders","2024-02-12","2029-02-12"
13,"Prestige Mixer Grinder","Home Appliances",25,"4299.00","KitchenHub India","2023-12-11","2029-12-11"
14,"Pigeon Induction Cooktop","Home Appliances",20,"3199.00","SmartKitchen Pvt Ltd","2024-03-15","2029-03-15"
15,"Amul Butter 500g","Grocery",100,"280.00","DairyFresh Suppliers","2024-10-01","2025-04-01"
16,"Tata Tea Gold 1kg","Grocery",70,"540.00","IndianBev Co","2024-09-20","2026-09-20"
17,"Colgate Toothpaste 200g","Personal Care",120,"130.00","BrightSmile Ltd","2024-07-05","2026-07-05"
18,"Dettol Handwash 250ml","Personal Care",80,"99.00","CleanHands Distributors","2024-06-25","2026-06-25"
19,"Godrej Hair Dye","Personal Care",50,"180.00","BeautyZone India","2024-05-01","2026-05-01"
20,"Lifebuoy Soap 100g","Personal Care",200,"35.00","HygieneHub India","2024-08-05","2026-08-05"
21,"Bajaj Iron Press","Home Appliances",15,"1199.00","HeatPro Pvt Ltd","2023-09-12","2030-09-12"
22,"Butterfly Gas Stove","Home Appliances",12,"5199.00","FlameTech Distributors","2023-10-01","2032-10-01"
23,"Sony Headphones","Accessories",30,"2999.00","SoundCity Traders","2023-11-02","2028-11-02"
24,"Asus Gaming Laptop","Electronics",8,"99999.00","ProTech Systems","2023-07-22","2028-07-22"
25,"Apple iPad Air","Electronics",14,"59999.00","GadgetHub India","2023-08-10","2028-08-10"
26,"Zebronics Keyboard","Accessories",55,"799.00","CompuCraft Ltd","2024-01-01","2029-01-01"
27,"Whirlpool Washing Machine","Home Appliances",10,"38999.00","WashPro India","2023-06-05","2030-06-05"
28,"Panasonic Microwave Oven","Home Appliances",15,"20999.00","KitchenElite","2023-09-25","2029-09-25"
29,"Haier AC 1.5 Ton","Home Appliances",9,"42999.00","CoolHome Pvt Ltd","2023-03-11","2031-03-11"
30,"Usha Ceiling Fan","Home Appliances",20,"2399.00","AirFlow Solutions","2023-10-15","2032-10-15"
31,"Kent RO Purifier","Home Appliances",12,"15999.00","PureLife Suppliers","2023-11-30","2030-11-30"
32,"Reebok Shoes","Fashion",25,"4499.00","SportyFeet India","2024-02-20","2030-02-20"
33,"Levi’s Jeans","Fashion",30,"2999.00","UrbanWear Traders","2024-03-18","2031-03-18"
34,"Allen Solly Shirt","Fashion",35,"1799.00","StyleHouse Pvt Ltd","2024-04-22","2031-04-22"
